cleaned,label,label_libr,status
kemaren ribut bbm tambah etanol gilir bobibos puja abis an kalian bahan bakar nabati etanol tinggi,Negatif,Negatif,Benar
bbm nabati etanol gak mungkin guna murni bbm nabati guna murni masuk kategori butanol pentanol produksi butanol pentanol sangat langka mahal,Negatif,Negatif,Benar
pak sjafrie ajak perlu sibuk etanol hapus subsidi bbm buat sulit administrasi lpg buat rakyat derita lbh penting isi otak wewenang manfaat banyak ilegal tambang bala hutan,Negatif,Negatif,Benar
mau pakai bobibos etanol apa penting gantung sama bbm konvensional kalau enggak kasihan warga daerah kayak gin,Negatif,Negatif,Benar
bbm murni campur etanol mending isi bbm spbu shell aman motor mobil,Negatif,Positif,Salah
regulatory capture in slow motion batas kuota impor bbm swasta paksa etanol pasar sengaja sempit ini wajah regulatory capture era baru hak konsumen pilih bbm sesuai spesifikasi mesin redam prinsip saing sehat pasar,Negatif,Negatif,Benar
bbm etanol akhir swasta suruh jual bbm kualitas sampah,Negatif,Negatif,Benar
ratus mahasiswa kalsel protes kait masalah bbm campur etanol rusak motor desak wakil rakyat tindak via,Negatif,Negatif,Benar
mahasiswa kalsel protes masalah motor brebet duga akibat bbm campur etanol,Negatif,Negatif,Benar
cepet rusak lho bbm oplos etanol,Negatif,Negatif,Benar
kasi mesin kereta ae rusak gegara bbm campur etanol,Negatif,Negatif,Benar
maksud sekarang soal bbm etanol padahal pertamina jelek tingkat percaya publik wajib beli bbm mentah bbm swasta malah mati bisnis bbm swasta monopoli pertamina,Negatif,Negatif,Benar
dalam ilustrasimy jelas sesuai motor balap mesin baru cc motor motor model lama sesuai bbm etanol fakta lapang mesin model lama alami kendala menngunakan bbm etanol,Negatif,Negatif,Benar
campur etanol mungkin air wkwkwk biadab kerja bisnis rugi esdm ribet bobibos murid petronas malay jual bbm lebih murah qualified untung banyak bagi profit bakar mercedes amg petronas f buat global branding kalah telak,Negatif,Negatif,Benar
pertamina pgen pegang kendali monopoli import minyak swasta satu importir jelek bbm pertamina oplos etanol protes pihak spbu swasta krna swasta import bbm murni campur etanol etanol turun kerja mesin,Negatif,Negatif,Benar
lapor pak presiden mau tanya perintah mau ribut lawan rakyat banyak berita konyol negeri jangan rakyat gerak batal baik perintah marah batal bbm wajib etanol revisi hap baru,Negatif,Negatif,Benar
taun rame etanol aku pake mobil sama motor campur bbm exist hasil memang gak cocok buat spek sini perlu ubah signifikan macam konverter jenis gak error sensor mesin,Negatif,Negatif,Benar
bbm kandung etanol baik langsung guna kl kendara lama parkir garasi justru bahaya mesin,Negatif,Negatif,Benar
etanol bbm sifat higroskopis serap uap air udara tangki penuh bahan bakar simpan lama sebab akumulasi air potensi picu pisah fase phase separation air etanol pisah bensin,Negatif,Negatif,Benar
gilir tehmologinya paten negara baru bakar jenggot menteri malah ngotot pingin campur bbm etanol temu bahan baku ramah lingkung mudah dapat untung ganda tani sulit memang ruwetnesia,Negatif,Positif,Salah
mohon maaf pak bukana etanol lewih boros banding bbm biasa kemudian kendara indonesia ramah etanol,Negatif,Negatif,Benar
gimana cara obyektif ngecek kualitas bbm sendiri lab mahal banyak bilang sekarang lebih boros beli base fuel pertamina apa etanol sulfur faktor psikologis gara gara gak suka pertamina bijak,Negatif,Negatif,Benar
kandung bobibos kandung etanol soal masyarakat pernah kritik rencana gabung etanol bbm,Negatif,Negatif,Benar
tahu apa ikhlas lul rakyat beli bbm pernah ngutang kasih oplos pertalite campur etanol beli dipajakin negara kurang ikhlas apa kpd perintah kalau minum alkohol ngk usah bicara ikhlas lul,Negatif,Negatif,Benar
emank iya wong bbm campur etanol forma se optimal bbm fosil kalah jauh mau sama bbm fosil campur susah,Negatif,Negatif,Benar
apa harap bbm etanol ruska lama lama mesin mu,Negatif,Negatif,Benar
engine kendara jaman now ngga disiapin guna bbm etanol bbrp merek pabrikan malah jelas kasih ingat buku manual kendara guna bbm etanol,Negatif,Negatif,Benar
preet bilang doa betah lama masjid lahh kerja bikin negara ribut ja soal bbm etanol rencana ja bnyak motor mbrebet mlah kualitas bbm pertamina cap tai bobibos msti legal dulu laah entut beruut,Negatif,Negatif,Benar
licik jahat bbm oplos etanol sela sela ber korupsi normal kalau bbm jenis jenis kalau bisnis jangan orang perintah jual sayur jual bakso,Negatif,Negatif,Benar
butuh snack butuh bbm bukan campur etanol mau tipu,Negatif,Negatif,Benar
menteri esdm dorong legal negara punya perangkat lengkap serta ahli proses sebut anyway tolol dpt berapa rupiah per liter bbm import oplos etanol getol banget ngebet pake etanol,Negatif,Negatif,Benar
masalah campur etanol bbm indonesia rusak mesin prindapan ama indonesia,Negatif,Negatif,Benar
anjing bangsat setan monyet babi fuck fuck bbm kamu campur etanol harga turunin gblk udah etanol cepet uap bbm cepet abis harga bbm segitu bangsat mo pake swasta tutup semuaaa mati kamu mati,Negatif,Negatif,Benar
fakta kaum dungu justru ngamuk biofuel etanol campur bbm pdahal hnya banding bbm bobibos kadar biofuel murni,Negatif,Negatif,Benar
teliti bagus diterapin semua kondisi contoh beberapa motor indonesia emang masuk etanol statement aku awal aku dukung etanol wkwk aku tanya bbm nabati,Negatif,Negatif,Benar
keluar baru bukan kendara lama opsi sedia bbm non etanol jangan wajib semua etanol kasihan motor support etanol,Negatif,Negatif,Benar
sendiri mau ngoplos bbm pake etanol uji dulu maen campur ngoplos miras,Negatif,Negatif,Benar
enak campur etanol babibubebo langsung besok warga temu bbm bagus malah sulit hypocrite at its finest,Negatif,Negatif,Benar
gatau mslh etanol an isu etanol muncul sejak ngoceh buat mecah konsen rakyat kalau org indo swasta mau mnyediakan bbm murah kualitas hrsnya dpt respon positif ngapain pake barang prtamini oplos semua,Negatif,Negatif,Benar
sobat essentials campur etanol bbm kurang kandung energi bahan bakar potensi lebih boros bensin risiko korosi mesin kendara etanol sifat serap air lengkap,Negatif,Negatif,Benar
bajing bbm etanol uji udah edar bangsat,Negatif,Negatif,Benar
jahanam bbm campur etanol kau legal emisi kau jegal laknat,Negatif,Negatif,Benar
makanya kalau nyuruh pertamina ubah spesifikasi bbm jangan langsung turut suruh koordinasi dulu sama menteri industri spesifikasi industri otomotif sesuai dulu etanol sifat korosif kalau spek motor gak sesuai rusak,Negatif,Negatif,Benar
situ nyampur etanol bbm sekarang pake uji bulan dulu kagak uji kendara cek kendara edar support guna etanol apa kaga,Negatif,Negatif,Benar
woy komitmen kalian cuman lip service negara orang percaya bbm oplos sama etanol,Negatif,Negatif,Benar
kata bbm karya anak bangsa bahan ramah lingkung banyak rakyat dukung jelas etanol murni dukung kemaren sampe protes keras perintah campur etanol padahal bom realisasi gajelas banget orang indo tolol,Negatif,Negatif,Benar
berita banyak motor mbrebet gara bbm pake etanol,Negatif,Negatif,Benar
bbm campur etanol jenis kalau emang bbm gak cocok sama motor mbak makanya gitu,Negatif,Negatif,Benar
gada kerja rakyat kamu noh banyak racun bbm etanol demo kemaren ditangkep in,Negatif,Negatif,Benar
bangsatttt adik sayang kadek kalah gegara habis bbm udah bilangin tambah etanol lebih boros cepat habis bensin gimana rakyat mau sejahtera kl uang habis buat biaya transportasi,Negatif,Negatif,Benar
coba punya buku pandu h nda injeksi baca bbm campur etanol tinggi efek sebab cat tangki rusak sebab karat tank sebab kendara baik gamabr buku pandu resmi h nda,Negatif,Negatif,Benar
ngakuin kualitas bbm jlk susah bkn mslh etanol kualitas bbmnya,Negatif,Negatif,Benar
paksa beli bbm dlm negeri kualitas buruk rusak karet seal sekarang tiap minggu service kendara bbm etanol kira semua orang mampu service kendara tiap bulan dapat masyarakat jt bulan berapa tri malu,Negatif,Negatif,Benar
ngeles busi disalahin tolol pernah uji layak bbm etanol,Negatif,Negatif,Benar
mau cari cari sela korupsi bbm campur etanol cerdik licik koruptor normal bbm rakyat seluruh indonesia tahu,Negatif,Negatif,Benar
motor pake busi malah idup pak padahal pake bbm oplos etanol,Negatif,Negatif,Benar
sumber bahan nabati apa jelas biasa bahan nabati bbm sawit kelapa jarak sumber oleokimia denger denger limbah tani tani apa tahu curiga bioefuelnya upa etanol bahenol nabati,Negatif,Negatif,Benar
pertanyaanya simple punya alat kalau punya masalah kalau untung jual bbm buat apa dukung bbm pake etanol sempak merah,Negatif,Negatif,Benar
gigit pahit rasa korupsi tetes pelan hidung campur etanol air mata bbm naik beras impor busuk salam gigit jari balik buat kalian pimpin palsu nikmat rampas perang sekarang,Negatif,Negatif,Benar
pak menteri erti visi bapak gera masyarakat tanam singkong produksi etanol kurang gantung kpd bbm fosil perintah tetap harga beli singkong rp rakyat keluh harga rp kg,Negatif,Negatif,Benar
paksa beli bbm dlm negeri kualitas buruk rusak karet seal sekarang tiap minggu service kendara bbm etanol kira semua orang mampu service kendara tiap bulan dapat masyarakat jt bulan berapa tri malu,Negatif,Negatif,Benar
nebak indon bakal even nitpick he s a muslim bilang syiah syiah bukan islam like bfr yall otak kena kontaminasi bbm oplos etanol kerak,Negatif,Negatif,Benar
menteri energi somalia sekarang bikin ngeri sama ngeselin campur etanol bbm sampe bikin banyak motor orang brebet nyusahin iya ngeselin iya,Negatif,Negatif,Benar
bijak ngawur asal asal pikir akibat rakyat buat susah gara bbm campur etanol pertalite motor mogok deng gendeng,Negatif,Negatif,Benar
bbm campur etanol sebab karat tangki bensin motor utama etanol serap air picu korosi tangki logam risiko lebih tinggi motor lawas campur etanol tinggi guna bbm segar periksa tangki rutin cegah,Negatif,Negatif,Benar
bbm campur etanol bikin karat tank bbm motor,Negatif,Negatif,Benar
sekarang dya nikmat bisnis pertalite campur etanol ingredient lebih murah harus harga jual sama laba pasti lebih banyak efisiensi bbm kendara performa mesin jadi sangat boros,Negatif,Negatif,Benar
moga jodoh aku kak teknik kayak erlang bukan ngide ngoplos bbm pake etanol amin,Negatif,Negatif,Benar
bego org org marah karna bbm campur etanol emg anjinkss,Negatif,Negatif,Benar
knp spbu swasta rame tanya pertamina knp hancurin customer trust kamu peak bbm oplos kandung aer kandung etanol and wtf,Negatif,Negatif,Benar
be saing pertamina singkirin semua bikin bijak campur bbm etanol notabene sehat buat motor karbu lama ni orang bikin bijak pernah benar mulai gas lpg tambang sama sekarang bbm aneh bat tri kamu wok,Negatif,Negatif,Benar
percaya aku paling benci kasus literally semua orang gantung banget ama bbm motor sekarang sesuai ama bbm etanol pikir kemarin bakal baik tau malah lanjut motor suami kena gegara isi bbm pertamina,Negatif,Negatif,Benar
henti bbm campur etanol rakyat kasi enak,Negatif,Negatif,Benar
ajak turing naik motor trus isi bbm bareng campur etanol sebut lanjut rasa sendiri motor mogok sama sama jalan akibat etanol mesin motor,Negatif,Negatif,Benar
pertamina buka bengkel gratis motor brebet lucu arti udah tahu salah sama bbm bukan soal mesin motor soal bijak campur etanol paksa bbm makin hijau motor malah batuk batuk,Negatif,Negatif,Benar
padahal buku tunjuk kendara banyak larang bbm kandung etanol bilang nyari proyek tebu jagung singkong td udah siap pasok gede nanam skarang,Negatif,Negatif,Benar
kamu lihat berita ape gimana bang tempat aku banyak orang kena habis isi bbm motor langsung bunyi cek kandung bbm etanol punya hp searching napa,Negatif,Negatif,Benar
bikin bijak soal etanol gak masalah lama integrasi industri otomotif mesin motor indonesia siap spek bbm kemen esdm koordinasi kemenperin skrng mesin motor rusak sifat etanol korosif,Negatif,Negatif,Benar
cocok gak bijak buat motor indonesia ahli itb ethanol sifat higroskopis tingkat kadar air bensin makanya banyak ngeluh waktu ditab bensin air motor rusak,Negatif,Negatif,Benar
mungkin mungkin sebab utama etanol bbm kurang tenaga mesin sedikit energi lebih rendah jarang bikin hilang tenaga total tanjak lebih mungkin masalah mekanik rem jalan licin indonesia,Negatif,Negatif,Benar
pngn tahu etanol campur pertalite jdi sprti apa lha koq mlh campur air orang da paham kalau bbm campur air psti brebet,Negatif,Negatif,Benar
pecat bu kader orang benalu kader bunglon neng lompat partai asal dapet apa apa lumpat orang dukung suka nyampur bbm etanol,Negatif,Negatif,Benar
kalau pnybab boros etanol biang brebet kmungkinan besar ad aditif pakai u ningkatin performa bbm naikin oktan mkn riset dl aditif pakai sifat korosif thd tangki endap kerak tangki jdnya kotor lepas dna nyumbat salut bbm,Negatif,Negatif,Benar
ad mungkin bukan campur air etanol kak larut aditif pd bbm tsbt sifat korisif tangki bensin endap kerak pd tangki nyumbat salur injeksi,Negatif,Negatif,Benar
kalau jual bbm etanol meski harga naik yakin etanol gak laku cara pertamina monopoli pasar singkir saing trus naikin harga,Negatif,Negatif,Benar
kalau dar minta maaf kalau campur banyak kendara support gimana sekali kata maaf ucap bbm campur etanol percuma,Negatif,Negatif,Benar
ide bbm campur etanol,Negatif,Negatif,Benar
nah sbg konsumen brp persen kandung etanol pakai bbm pertamina kalau lebih arti pertamina buat curang kalau bijak soal etanol dipake swasta kurang kadar etanol,Negatif,Negatif,Benar
bagi besar kendara edar indo rancang sus bbm ber etanol masalah serius masiv masyarakat tengah bawah,Negatif,Negatif,Benar
darimana ide bbm campur etanol saing spbu swasta saing sehat harus pertamina tingkat kualitas bbmnya bukan malah turun kualitas bbm rakyat paksa pakai bbm pertamina jelek,Negatif,Negatif,Benar
pantesan motor aing brebet anjing gara gara bbm campur etanol uasuuu,Negatif,Negatif,Benar
tuntut spbu sebut pertamina perintah bidang esdm bumn presiden ri tuntut bijak bbm campur etanol sebut batal tuntut pecat,Negatif,Negatif,Benar
ngapain campur air perlu bukti etanol campur bbm jadi air biang kerok air sebut bikin motor brebet akibat bbm campur etanol,Negatif,Negatif,Benar
abis ngisi bensin full tank brebet gin tinggal indo etanol bagus kalau kualitas bbm pertamina bagus pak lil kualitas pokokknya tai benerin dulu baru inovasi,Negatif,Negatif,Benar
mau tambah kalau etanol sifat hidroskop air tercamput bbm mungkin besar jadi memang hulu porcessing buruk handling hingga storaging akumulatif inti bodoh mau oplos bbm pake etanol kalau paham kerja kimiawi,Negatif,Negatif,Benar
gara gara etanol energi per liter lebih kecil bbm murni jumlah liter sama bbm campur jarak tempuh jelas lebih pendek mbok harga bbm rangin kalau harga sama jarak tempuh lebih pendek boncos,Negatif,Negatif,Benar
bbm indonesia pusat oplos etanol makelar impor pertamina daerah oplos minyak sumur ilegal usaha spbu sama sama giat beking aparat setor pimpin bangsat,Negatif,Negatif,Benar
makanya pertamina kalau gak buat bbm kualitas tutup kasih bbm asing udah harga mahal kualitas buruk tambah etanol segala hancur lebur udah gitu bbm impor singapura bangsat sampah,Negatif,Negatif,Benar
gin bahan etanol mau jadi campur bbm bikin rusak kendara tipu asuuu bensin pertalulit celaka buang comberan,Negatif,Negatif,Benar
bukan jir tambah etanol kira bkin bbmnya reaksi sama besi pdhl bbm tangki ngasilin air segitu banyak bayangin gimana cape mesin build buat ngeluarin residu gituan busi bakar salur bbmnya sumbat besi,Negatif,Negatif,Benar
bijak negara sering bikin susah rakyat lahir ego politik visi ambisius analisis risiko matang kasus etanol campur bbm niat hemat impor ramah lingkung mulia infrastruktur pertamina siap malah picu harga naik rusa,Negatif,Negatif,Benar
ngotot nyampurin etanol bbm resin dulu infrastruktur pertamina kayak maksa orang minum obat cacing padahal demam salah sasar salah timing jelas bukan solusi bukti bijak indonesia selalu lahir ego bukan nalar,Negatif,Negatif,Benar
pilih buat rakyat kalau kouta impor kemudian harga bbm naik kalau etanol resiko kendara motor brebet,Negatif,Negatif,Benar
aseekk ana kancane gasss jangan kasih bbm etanol yak sajuma motor alim,Negatif,Negatif,Benar
jangan buta tuli benerin kwalitas kemarin pertamax rasa pertalite sekarang perlite etanol satu satu jdi usaha sedia bbm malah amatir maluuuuu aku bumn indonesia model ky gin,Negatif,Negatif,Benar
bahaya bbm campur etanol bukti video apa masyarakat percaya nyata menteri esdm kalau etanol campur bbm aman guna kendara kapan pertamina mau ubah,Negatif,Positif,Salah
kamu nggk baca berita putus pertamina sendiri campur etanol k bbm hingga kadar lebih harus efek k mesin motor,Negatif,Negatif,Benar
motor brebet mogok massal jatim kandung etanol bbm lebih persen,Negatif,Negatif,Benar
udah bukti kasus mesin rusak gara gara campur etanol ngegas maksa rakyat pakai bbm ber etanol ilmu bantah kenceng tanggung jawab enteng maaf jiaaah komisaris pertamina malah sibuk ngurusin mantan,Negatif,Negatif,Benar
tidak jujuran orang campur etanol bbm putus makna etanol campur bbm harus sebut efek semua mesin jenis kendara terima bbm oplos,Negatif,Negatif,Benar
motor brebet mogok massal jatim viral spbu swasta batal beli bbm pertamina campur etanol,Negatif,Negatif,Benar
solusi gin blin goblin stop campurin etanol bbm blog,Negatif,Negatif,Benar
ni perintah maksa banget bikin etanol padahal mesin kendara dukung buat bbm dicampurin etanol mikir perintah,Negatif,Negatif,Benar
negara kaya minyak bumi bukan ngembangin teknologi ngga impor bbm malah bikin etanol buat ngoplos pak maaf ngga waras,Negatif,Negatif,Benar
tolak bbm etanol pertamina,Negatif,Negatif,Benar
video mulai investigasi kasus kendara brebet mogok masal utama jatim bulan september spbu swasta batal beli bbm pertamina salah satu alas transparansi kena kandung etanol kemudian,Negatif,Negatif,Benar
rakyat beli kendara boleh legal olh negara negara dpt pajak beli kend tipe kend bs nrima etanol perintah mau ptg jual bbm ber etanol emg bajing kalian,Negatif,Negatif,Benar
prediksi ide senjata makan tuan siap bbm oplos etanol rusak citra spbu swasta siap atur spbu swasta wajib beli pertamina spbu swasta tolak pilih tutup bbm oplos etanol jual sendiri dilegalisir banyak kendara macet bbm,Negatif,Negatif,Benar
menteri suruh ajar dulu masalah tehnik mesin utama mesin sepeda mobil mungkin mesin sepeda mobil pakai bbm campur etanol lha u mesin sepeda mobil gak pakai bbm campur etanol gimana jangan disamaratakan,Negatif,Negatif,Benar
eh kalau amerika produsen motor mobil expand ffv pake etanol bahkan next indo produsen mobil motor bahkan nol bikin ffv kalau bbm dulu ganti rusa masal bodohh,Negatif,Negatif,Benar
lama lama makin goblok kamu grok etanol ngk bagus buat mesin suda riset kalau uda nyata arti jangka panjang rugi konsumen lihat kualitas bbm indo kemarin kemarin bikin mesin kendara rusak apa tambah etanol,Negatif,Negatif,Benar
kaji campur etanol dampak negatif kendara kalian jangan enak campur bbm pikir rugi milik kendara shell dkk mau beli bahan mentah etanol bawah kalian malah campur,Negatif,Negatif,Benar
sekarang ruwet masalah bbm jelek merah udah saat sekali nuntut pemda buat hadirin transum pusing rawatin kendara pribadi gara gara bijak tolol etanol,Negatif,Negatif,Benar
bener bilang etanol jelek cocok pakai campur bbm indonesia pabrik priduksi kendara indonesia kompatibel etanol cari untung buat mafia migas besar cara mudah murah,Negatif,Negatif,Benar
bijak potensi tambah beban rakyat konsumsi bbm naik akibat densitas energi etanol lebih rendah plus risiko korosi kendara lawas dominasi indonesia program modifikasi murah dpr ri lalu anggota ateng sutisna nevi,Negatif,Negatif,Benar
bengkel mulai rame byk motor ndet an karna etanol temen suami aku punya cabang bengkel semua rame semenjak bbm monopoli motor banyak mesin karat perintah jahat emang minimal kalau gamau punya saing baik kualitas bbmnya korup mulu,Negatif,Negatif,Benar
ngomong etanol abis kamu semua spbu swasta batal beli bbm pertamina dasar dungu,Negatif,Negatif,Benar
edar narasi mesia sosial kait bahan bakar minyak bbm etanol duga sebab tangki hingga busi karat baca lengkap na,Negatif,Negatif,Benar
edar narasi mesia sosial kait bahan bakar minyak bbm etanol duga sebab tangki hingga busi karat baca lengkap na,Negatif,Negatif,Benar
eh kuntoll etanol bagus bbm bagus tangki motor seal segala macem anyink,Negatif,Negatif,Benar
menteri energi sumber daya mineral esdm menep tuding sebut guna etanol campur bahan bakar minyak bbm rusak mesin kendara tuding balik isu sebut hembus pihak pihak kuota,Negatif,Negatif,Benar
kalau periksa sesuaindg tentu arti campur bbm etanol biang kerok banyak kendara mogok brebet kendara kompatibel etanol,Negatif,Negatif,Benar
etanol campur bbm rusak mesin kendara kadar tinggi misal kendara lama kompatibel dampak masuk korosi rusa seal karet turun efisiensi kendara modern biasa aman saran cek,Negatif,Negatif,Benar
bagus bbm bagus mesin motor salah etanol pakai mesin mobil masalah skr etanol bagus motor awal campur etanol laku reset,Negatif,Negatif,Benar
orang brengsex sekali padahal paksa spbu asing beli bbm lewat pertamina belum import sendiri penuh butuh langgan bbm kualitas bebas etanol kadar tinggi spbu asing pd stop hengkang konoha,Negatif,Negatif,Benar
atur perintah wajib kandung etanol semata mata buat positif kayak ngurangin polusi gantung minyak bumi justru buat matiin saing instan padahal kualitas bbm pertamina tanya,Negatif,Negatif,Benar
kasus besar abis korupsi besar lanjut kilang bakar tambah monopoli bbm nutup swasta bangga pake etanol impor padahal udah begini usa nunggu ancur ancur,Negatif,Negatif,Benar
gilaa pagi motor dadak mati jalan bbm etanol anjing,Negatif,Negatif,Benar
india target etanol bbm as umum pakai dua negara lapor rupa soal motor mogok masalah engine akibat etanol serap air korosi rusak karburator motor lama kendara modern lebih tahan isu tetap,Negatif,Negatif,Benar
jabat negara mulai isi bbm etanol kamu efek gimana makan kalian keluarga mbg kalian rasa gimana kalian keluarga wajib obat pake bpjs kalian rasa gimana kalian wajib makan beras raskin rasa,Negatif,Negatif,Benar
gara gara tri nyuru campur etanol sblm resmiin trial dulu efek bikin mesin rusak apa engga rugi ngisi bbm pertemina,Negatif,Negatif,Benar
